学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
内蒙古大学,内蒙古,B,0,1,1,统考,计算机学院,(085400)(专业学位)电子信息,全日制,专业：182(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)程序设计与数据结构(自命题)
内蒙古大学,内蒙古,B,0,1,1,统考,计算机学院,(085400)(专业学位)电子信息,全日制,专业：182(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)程序设计与数据结构(自命题)
内蒙古大学,内蒙古,B,0,1,1,统考,计算机学院,(085400)(专业学位)电子信息,全日制,专业：182(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)程序设计与数据结构(自命题)
内蒙古大学,内蒙古,B,0,1,1,统考,物理科学与技术学院,(085400)(专业学位)电子信息,全日制,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(864)普通物理学（电磁学和光学）
内蒙古大学,内蒙古,B,0,1,1,统考,电子信息工程学院,(085400)(专业学位)电子信息,全日制,研究方向：55(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(869)通信与系统
内蒙古大学,内蒙古,B,0,1,1,统考,电子信息工程学院,(085400)(专业学位)电子信息,全日制,研究方向：58(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(867)自动控制原理
内蒙古大学,内蒙古,B,0,1,1,单考,计算机学院,(085400)(专业学位)电子信息,全日制,专业：3(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)程序设计与数据结构(自命题)
内蒙古大学,内蒙古,B,0,1,1,单考,计算机学院,(085400)(专业学位)电子信息,全日制,专业：3(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)程序设计与数据结构(自命题)
内蒙古大学,内蒙古,B,0,1,1,单考,计算机学院,(085400)(专业学位)电子信息,全日制,专业：3(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(892)程序设计与数据结构(自命题)
内蒙古大学,内蒙古,B,0,1,1,单考,物理科学与技术学院,(085400)(专业学位)电子信息,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(864)普通物理学（电磁学和光学）
内蒙古大学,内蒙古,B,0,1,1,单考,电子信息工程学院,(085400)(专业学位)电子信息,全日制,研究方向：3(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(869)通信与系统
内蒙古科技大学,内蒙古,B,0,0,0,统考,信息工程学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,研究方向：14(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)信号与系统
内蒙古科技大学,内蒙古,B,0,0,0,统考,信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,研究方向：14(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)信号与系统
