学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
清华大学,北京,A,1,1,1,统考,社会科学学院,(040300)体育学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(202)俄语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(203)日语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(241)德语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(242)法语,(634)体育学专业基础综合,(--)无
清华大学,北京,A,1,1,1,统考,社会科学学院,(040300)体育学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(202)俄语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(203)日语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(241)德语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(242)法语,(634)体育学专业基础综合,(--)无
清华大学,北京,A,1,1,1,统考,社会科学学院,(040300)体育学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(202)俄语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(203)日语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(241)德语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(242)法语,(634)体育学专业基础综合,(--)无
清华大学,北京,A,1,1,1,统考,社会科学学院,(040300)体育学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(202)俄语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(203)日语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(241)德语,(634)体育学专业基础综合,(--)无,(101)思想政治理论,(242)法语,(634)体育学专业基础综合,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040301)体育人文社会学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040301)体育人文社会学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040301)体育人文社会学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040301)体育人文社会学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040301)体育人文社会学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040302)运动人体科学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040302)运动人体科学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040302)运动人体科学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040302)运动人体科学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040302)运动人体科学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040303)体育教育训练学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040303)体育教育训练学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040303)体育教育训练学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040303)体育教育训练学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040303)体育教育训练学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040304)民族传统体育学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040304)民族传统体育学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040304)民族传统体育学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
北京师范大学,北京,A,1,1,1,统考,体育与运动学院,(040304)民族传统体育学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(707)体育学基础综合（学校体育学、运动训练学、,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：4(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040301)体育人文社会学,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040302)运动人体科学,全日制,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040302)运动人体科学,全日制,研究方向：7(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040302)运动人体科学,全日制,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040302)运动人体科学,全日制,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040302)运动人体科学,全日制,研究方向：4(不含推免),(101)思想政治理论,(201)英语（一）,(623)体育人工智能专业基础,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：3(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：3(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：11(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：12(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：9(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：3(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：3(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040303)体育教育训练学,全日制,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040304)民族传统体育学,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040304)民族传统体育学,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040304)民族传统体育学,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040304)民族传统体育学,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(040304)民族传统体育学,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(621)体育学专业基础综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(0403Z1)运动康复学,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(622)运动康复专业综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(0403Z1)运动康复学,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(622)运动康复专业综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(0403Z1)运动康复学,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(622)运动康复专业综合,(--)无
首都体育学院,北京,A,0,0,0,统考,不区分院系所,(0403Z1)运动康复学,全日制,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(622)运动康复专业综合,(--)无
北京体育大学,北京,A,0,1,1,统考,不区分院系所,(040301)体育人文社会学,全日制,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(611)体育基本理论及体育管理学,(--)无
